Date,TLT,IEF,SHY,TIP,IVV,LQD,DJP,GLD
2013-01-02,99.06652069091795,93.03865814208984,78.59420776367188,108.4325942993164,127.1108856201172,94.66462707519531,41.43000030517578,163.1699981689453
2013-01-03,97.7242202758789,92.56039428710938,78.59420776367188,107.69091796875,126.94615936279295,94.14942169189452,41.0,161.1999969482422
2013-01-04,98.1053466796875,92.60388946533205,78.603515625,107.64622497558594,127.57034301757812,94.1025848388672,40.95000076293945,160.44000244140625
2013-01-07,98.14678192138672,92.65605926513672,78.603515625,108.01260375976562,127.17156219482422,94.25871276855469,41.0,159.42999267578125
2013-01-08,98.7931137084961,92.88211822509766,78.6128158569336,108.16451263427734,126.82487487792969,94.34455871582031,40.900001525878906,160.55999755859375
2013-01-09,98.70195770263672,92.93431091308594,78.64073944091797,108.3611068725586,127.16285705566406,94.31334686279295,40.77000045776367,160.49000549316406
2013-01-10,98.4285125732422,92.66478729248048,78.6314468383789,108.26280975341795,128.1251220703125,94.36014556884766,41.04999923706055,161.97999572753906
2013-01-11,99.30682373046876,92.9604263305664,78.62214660644531,108.3611068725586,128.18582153320312,94.53192138671876,41.15999984741211,161.05999755859375
2013-01-14,99.03337097167969,92.9256362915039,78.62214660644531,108.39690399169922,128.07316589355472,94.34455871582031,41.47999954223633,161.5399932861328
2013-01-15,99.48910522460938,93.15167999267578,78.6314468383789,108.46835327148438,128.1251220703125,94.2665023803711,41.52000045776367,162.55999755859375
2013-01-16,99.69625091552734,93.2734375,78.6314468383789,108.44153594970705,128.07316589355472,94.2665023803711,41.560001373291016,162.64999389648438
2013-01-17,98.70195770263672,92.84735870361328,78.62214660644531,108.25385284423828,128.94001770019528,94.1025848388672,41.77999877929688,163.35000610351562
2013-01-18,99.46426391601562,93.10824584960938,78.62214660644531,108.4325942993164,129.27815246582028,94.19623565673828,41.97999954223633,163.08999633789062
2013-01-22,99.65480041503906,93.18648529052734,78.64073944091797,108.41474151611328,129.91093444824222,94.19623565673828,42.13999938964844,163.6699981689453
